               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              2.0512,              3.0266,              1.6013,             0.35583,            0.035769,            0.040417,            0.026056,              1.7463,              2.5618,              1.5094,            0.070112,           0.0033209,           0.0033209
                   1,              2.0344,              3.0301,              1.5791,             0.35835,            0.042951,            0.041431,            0.024805,              1.7249,              2.5971,              1.4941,            0.039848,           0.0063908,           0.0063908
                   2,              2.0297,              2.9921,              1.5883,             0.37645,            0.036752,            0.043731,             0.02647,               1.873,               2.635,              1.5797,           0.0093205,           0.0091966,           0.0091966
                   3,              2.0322,              2.9642,              1.5631,             0.37105,            0.043077,            0.041259,            0.024899,              1.8045,              2.5213,              1.5196,            0.008812,            0.008812,            0.008812
                   4,              1.9907,              2.8926,              1.5328,             0.32375,            0.057932,            0.052665,            0.032787,              1.6712,              2.5181,              1.4487,            0.008812,            0.008812,            0.008812
                   5,              1.9648,              2.8695,              1.5325,             0.29552,            0.084775,            0.072306,            0.046859,              1.6978,              2.3735,              1.4613,            0.008416,            0.008416,            0.008416
                   6,              1.9055,              2.7109,              1.4789,              0.3959,            0.070943,            0.067081,             0.04136,              1.6323,              2.2955,              1.4209,             0.00802,             0.00802,             0.00802
                   7,              1.9028,              2.7217,               1.473,             0.35915,            0.079236,            0.069791,            0.041585,              1.7323,              2.3168,              1.4685,            0.007624,            0.007624,            0.007624
                   8,              1.8765,              2.6247,                1.45,             0.40831,            0.086436,            0.086441,            0.055534,              1.5704,              2.2399,              1.3847,            0.007228,            0.007228,            0.007228
                   9,              1.8419,              2.5189,              1.4344,             0.40264,            0.096618,             0.09016,            0.057865,              1.5457,               2.146,              1.3612,            0.006832,            0.006832,            0.006832
                  10,               1.815,              2.5167,              1.4174,             0.39452,             0.10345,            0.086681,            0.057391,              1.5451,              2.1981,              1.3681,            0.006436,            0.006436,            0.006436
                  11,              1.7845,              2.4309,              1.4153,             0.41941,             0.11085,             0.10591,            0.068821,              1.5036,              2.0877,              1.3538,             0.00604,             0.00604,             0.00604
                  12,              1.7784,              2.3892,              1.4003,             0.43577,             0.10967,             0.10526,            0.069072,               1.544,              2.0825,              1.3601,            0.005644,            0.005644,            0.005644
                  13,               1.745,               2.323,              1.3751,             0.45714,             0.11759,             0.10877,            0.070101,              1.4735,              2.1792,              1.3223,            0.005248,            0.005248,            0.005248
